ID_produit;userRef;stock;ean13;description;bullet_points;etat_produit;Prix_vente_mini;Prix_vente_conseil;Categorie;title;weight;Photo1;Photo2;Photo3;Photo4;Photo5;Photo6;supplier;taxRate;isPack;height;length;width;otherRef1;Mode_transport;Prix_achat;Prix_transport;otherRef5;otherRef6;otherRef7;otherRef8;otherRef9;otherRef10;otherRef11;otherRef14
;EAN41023;61;41023;;;;;;;MOOVO BAGUE DE GUIDAGE XA4 REF 41023;;;;;;;;NICE;2000;false;;;;;;100;;;;;;;;;
;EAN07551547;79;7551547;;;;;;;MOOVO FIXATION PILIER XW532;;;;;;;;NICE;2000;false;;;;;;10;;;;;;;;;
;EAN07551548;171;7551548;;;;;;;MOOVO FIXATION PORTAIL XW532;;;;;;;;NICE;2000;false;;;;;;10;;;;;;;;;
;EAN08663000;1;8663000;;;;;;;MHOUSE BRAS DROIT  WS100 WS200;;;;;;;;NICE;2000;false;;;;;COL;100;;;;;;;;;
;EAN09884610;32;9884610;;;;;;;MHOUSE COUSSINET RACLEUR WS2;13;;;;;;;NICE;2000;false;;;;;LET;200;;;;;;;;;
;EAN10414610;81;10414610;;;;;;;MHOUSE BAGUE BRONZE NA�45;10;;;;;;;NICE;2000;false;;;;;LET;1;;;;;;;;;
;EAN13064540;56;13064540;;;;;;;MOOVO TS432 RALLONGE DE RAIL ;;;;;;;;NICE;2000;false;;;;;COL;100;;;;;;;;;
;EAN13074610;89;13074610;;;;;;;MOOVO TS432 PROFIL JONCTION RAIL;;;;;;;;NICE;2000;false;;;;;COL;400;;;;;;;;;
;EAN086645673;1;86645673;;;;;;;MHOUSE BRAS COMPLET  WS200 WS100;;;;;;;;NICE;2000;true;;;;;COL;1500;;;;;;;;;
;EAN87902125;219;87902125;;;;;;;Kit plantation avec terreau horticole 20L Florabella | Pur Ver Fertilisant universel lombricompost 100% végétal | UAB;;;;;;;;Pur Ver;1000;true;;;;;;MOURA;;;;;;;;;
;EAN149145401;6;149145401;;;;;;;MOOVO LN432 CAPOT SUPERIEUR;653;;;;;;;NICE;2000;false;;;;;COL;200;665;;;;;;;;
;EAN1000024540;19;1000024540;;;;;;;MHOUSE CAPOT INFERIEUR WS2 WW2;;;;;;;;NICE;2000;false;;;;;COL;100;;;5,03E+12;;;;;;
;EAN3361673515;9;3361673515;;;;;;;ACTO FOUR11 INSECTICIDES;;https://m,mediaamazon,com/images/I/51tve4QB4KL,jpg;;;;;;SOJAM;2000;false;;;;;;497;;;;;;FOUR11;;;
;EAN0077924011139;11;77924011139;;;;;;;WEBER  PANIER A POISSON - PETIT MODELE, ACIER INOXYDABLE - 6470;800;https://thumbs.bfldr.com/at/psrh5xm7c99xg598bvgm7c?expiry=1656066685&fit=bounds&height=800&sig=MjRlNGQyYzk2ZWVkNTg4OGQzZTUyMjBmNTljZjg5NGE2ZDE5YzQ3Yw%3D%3D&width=1100;;;;;;WEBER;2000;false;50;99;210;;;2398;;;;;;6470;;4;
;EAN0077924029271;4;77924029271;;;;;;;WEBER  GO-ANYWHERE CHARCOAL GRILL - 1131004;6750;https://thumbs.bfldr.com/at/h54ntnftqchqjvsfxz45r9gb?expiry=1656070270&fit=bounds&height=800&sig=MWM0ZWFhNjZkODVhMzgxNGZhOGM4ZDE5NzNlM2JmYTUzMDVjNmJjYg%3D%3D&width=1100;;;;;;WEBER;2000;false;225;480;310;;;8341;;;;;;1131004;;24;
;EAN0077924035647;9;77924035647;;;;;;;WEBER  HOUSSE PREMIUM POUR SERIES Q 1000 - 7117;720;https://thumbs.bfldr.com/at/vzk92cw7tvfn4jw3nj3ss3nx?expiry=1656067657&fit=bounds&height=800&sig=ZWY4MWJkNGU2MDgzYmZiNDM3ZTdjOWNlZWYzMTkwM2Y1MjU1ZDE4NQ%3D%3D&width=1100;;;;;;WEBER;2000;false;110;130;110;;;2118;;;;;;7117;;4;
;EAN0077924048166;3;77924048166;;;;;;;WEBER  HOUSSE STANDARD POUR Q 1000 ET 2000 SUR PIED OU CHARIOT - 7177;250;https://thumbs.bfldr.com/at/8f774hf4tg5c8bfkjrn67bv?expiry=1656067588&fit=bounds&height=800&sig=NjgwYmM0ZjA5NzNjNzY4YzE4ZjQ2NTk1YmJkMDQ1YjgxNWQ3MWZkZQ%3D%3D&width=1100;;;;;;WEBER;2000;false;250;170;40;;;2718;;;Jardin;;;7177;;5;
;EAN0077924051395;2;77924051395;;;;;;;WEBER  EPONGE DE NETTOYAGE - 2 PIECES - 17688;200;https://thumbs.bfldr.com/at/cth5jqm3bfv8t4nv7bj3tnm?expiry=1656064389&fit=bounds&height=800&sig=YzY2MDAzMDk5ZWE4ZjUzNTE5YzM5NjYwODYwOGNlMTdlNjg2OThiYg%3D%3D&width=1100;;;;;;WEBER;2000;false;45;200;140;;AMZSok;276;392;;;;;17688;;12;
;EAN0077924083686;6;77924083686;;;;;;;WEBER  BOETE DE BOIS DE FUMAGE - POUR VOLAILLE - 0,7KG - 17833;750;https://thumbs.bfldr.com/at/nfctctrt68nqrt8x8wx3bbc?expiry=1656067165&fit=bounds&height=800&sig=ODRmN2RkOWJmNDU3MGY5MGRiNjRmNGE1NzRjNzEzZWZhM2JiZWM5Mg%3D%3D&width=1100;;;;;;WEBER;2000;false;115;320;170;;;529;;;;;;17833;;6;
;EAN0077924119866;12;77924119866;;;;;;;WEBER  NETTOYANT POUR GRILLES DE CUISSON - 300 ML - 17875;400;https://thumbs.bfldr.com/at/n3tgxjgt53st75gb3z3tc6?expiry=1656064210&fit=bounds&height=800&sig=YTY5YzM2ZWEyNmYyMzFlMzQxOWQ2YWFlNmM4YTNlZWQxNmE1MjY4Yg%3D%3D&width=1100;;;;;;WEBER;2000;false;5;245;10;;;818;;;;;;17875;;12;
;EAN0077924129843;4;77924129843;;;;;;;WEBER  CLASSIC KETTLE E 57 CM - 1341553;450;;;;;;;WEBER;2000;true;126;126;256;;;12137;;;;;;;;10;
;EAN0077924159510;5;77924159510;;;;;;;WEBER  BROSSE DE NETTOYAGE - POIGNEE BAMBOU, 46 CM - 6276;100;https://thumbs.bfldr.com/at/p88x4xmptjcmq3f7g7ktz9j?expiry=1656064498&fit=bounds&height=800&sig=MTA3Y2ExNWI3NzljYjViMzFmYmExYWUzZDkwNDUwZjhhNjVmNjA0Yw%3D%3D&width=1100;;;;;;WEBER;2000;false;460;65;50;;;974;;;;;;6276;;12;
;EAN803259574288;1;803259574288;;;;;;;NICE PR400 BATTERIE DE SECOURS POUR FILO;;;;;;;;NICE;2000;false;;;;;;10;;;;;;;;;
;EAN3086960237981;0;3086960237981;;;;;;;EDA BAC DE RANGEMENT STOCK R AVEC COUVERCLE à CHARNIERE 85L COULEUR NOIR 10274 ;2430;https://images-na.ssl-images-amazon.com/images/I/31g+XXYUA4L.jpg;;;;;;EDA PLASTIQUES;2000;false;385;660;495;;COL;1003;1562;;;;;;;30;
;EAN3086960256395;1;3086960256395;;;;;;;EDA - JARDINIERE HAUTE CANCUN - 13570 G.BT ;1908;https://images-na.ssl-images-amazon.com/images/I/21nbtuRc64L.jpg;;;;;;EDA PLASTIQUES;2000;false;680;760;365;;COL;1367;412;;;;;;;4;
;EAN3108241592777;200;3108241592777;;;;;;;POCHETTE MATELASSEE;;;;;;;;CENPAC;2000;false;210;;150;;;MOURA;;;;;;;;;
;EAN3121970144239;119;3121970144239;;;;;;;NATUREN PAILLE DE CHANVRE DU MARAICHER 100L NATCHAN;11000;https://media.mr-bricolage.fr/media/catalog/product/cache/6b1c09900b407c50fce2db5e66ebc123/n/a/natchan-3121970144239-visuel_produit_base-natchan-3121970144239.jpg;;;;;;EVERGREEN;1000;false;150;800;600;OK;COLok;705;1445;;TERREAU;;;NATCHAN;;22;3XNET
;EAN3121970144604;10;3121970144604;;;;;;;KB ENGRAIS LIQUIDE CACTEES, PLANTES GRASSES KBCAC ARRET FOURNISSEUR ;750;https://images-na.ssl-images-amazon.com/images/I/41Ke7bG9lxL.jpg;;;;;;EVERGREEN;2000;false;46;180;78;OK;AMZS;252;463;B00EO2B2PM;;;ARRET PRODUIT;;;;
;EAN3121970150759;44;3121970150759;;;;;;;KB PUCERONS PRET A L EMPLOI 800ML CVPUCPAL  ;903;https://images-na.ssl-images-amazon.com/images/I/41GX1yEDSCL._AC_.jpg;;;;;;EVERGREEN;1000;false;270;140;60;OK;AMZSok;604;426;;;;CVPUCPAL-FBA;CVPUCPAL;;12;
;EAN3121970152746;1;3121970152746;;;;;;;FERTILIGENE SUBSTRAT POUR BONSAIS 6L FBONS6;1988;https://images-na.ssl-images-amazon.com/images/I/51sWg3HDQzL.jpg;;;;;;EVERGREEN;1000;false;380;230;100;;AMZSok;384;597;;;;;;;42;
;EAN3121970152944;10;3121970152944;;;;;;;NATUREN ENGRAIS GERANIUMS ET PLANTES FLEURIES;1421;https://images-na.ssl-images-amazon.com/images/I/31HMjszCeBL.jpg;;;;;;EVERGREEN;1000;false;280;100;60;OK;AMZSok;427;426;B00C0PHCWW;;;;;;;
;EAN3121970153026;30;3121970153026;;;;;;;NATUREN ENGRAIS FRAISIER 750G NATFR75;795;https://images-na.ssl-images-amazon.com/images/I/91xPkwEzk2L._AC_SL1500_.jpg;;;;;;EVERGREEN;1000;false;230;150;70;OK;AMZSok;314;426;B00YMVZ8FU;;;;;;10;
;EAN3121970154207;12;3121970154207;;;;;;;FERTILIGENE VER DE POIREAU TEIGNES CHENILLES 15ML PRODUIT INTERDIT A LA VENTE;62;;;;;;;EVERGREEN;2000;false;140;95;60;;AMZSok;1;392;;;;;;;;
;EAN3121970155112;4;3121970155112;;;;;;;NATUREN DESERBANT JARDIN COUR ALLEES 900ML NDESH900;994;https://www.leclub-bricolage.fr/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/a/m/am886491-am886491-visuel_produit_base-3121970155112.jpg;;;;;;EVERGREEN;1000;false;270;130;60;OK;AMZSok;799;426;B085CMWXG3;Jardin +;;;;;12;
